text,label
"Personally, I believe McIntosh’s list is a generalized rather than accurate roster that determines who has special access and who gets marginalized at Purdue, there are too many loopholes that can be exploited and need specification. For example, item 39 states “If you have more than fifty books in your household” as a privilege. Is it implying “the financial capability to afford fifty books” a privilege or “raised in an intellectual household” a privilege? What if one has one hundred e-books in their ipad instead of fifty hardcopies? What if the family regularly visits the library but doesn’t keep books in the household? There are simply too many interpretations to be made, so I don’t consider this list accurate. Also, I feel like some items need to be subtracted or modified for they don’t fit into Purdue’s current condition. For example, item 5 states “If you rely, or have relied, primarily on public transportation” a disadvantage. This is especially not true, for most of us travel by our own two feet, does this make us more privileged than those who take buses? Not to mention CityBus is free no more! Instead the list should make “primarily travel by personal motorized vehicle” a privilege, not “rely primarily on public transportation” a marginalization.",human
"In Episode One - The Difference Between Us, the documentary focuses on unraveling common myths about race and reinterprets the concept with modern standards: It debunks the belief of races as biological categories but reaffirms races as cultural identification. The video states the idea of biological race was fabricated solely for the purpose of proving one race is better than the other, it is fake science that forces lines between dots to reach a predetermined conclusion. With modern genetic studies we know that the variation of DNA sequence between homo sapiens is extremely small compared to other intraspecies differences, the genetic variation of two fruit flies might be as different as a human to a chimpanzee. Thus, most of us are practically genetically alike, it is only that one in a million gene strand that contribute to our appearance is different, then the concept of race is created because we are most used to identify by physical appearance. In fact, a black man can be more genetically similar to a white man than another black man, and vice versa. ",human
"During my time with production line quality management, I not only improved my technical skills but also saw how important innovation is in computer science. I faced tough problems that needed persistence and creativity to solve. Quickly, I learned to use resources like communication techniques and collaborative teamwork to overcome the obstacles. This experience made my passion for computer science stronger. It showed me I'm committed to research that tackles real-world issues. My experiences in computing have prepared me well for grad school. I'm sure my love for tech and my ability to work with people from all walks of life will help me make a positive impact in the future. Apply my knowledge in computer science, dive into exciting research, and team up with fellow software engineers to help improve the world for the greater good.",human
"Whether it was school or family education, I was always taught to be nice to everyone, especially to the elderly and the disabled. My parents told me that generosity is a virtue, and the world will be a better place if everyone is willing to lend a helping hand. The story took place when I was a sixth grader, on my way to a convenience store to buy dinner. I saw a granny sitting on the stairs in front of the store, looking around and maybe in need of help. As soon as we met eyes, she approached me. With her shaky voice she told me she lost her wallet and needed 200 dollars to call a taxi back home, she said everyone but me brushed her off and begged me to help her. I was very hesitant, 200 dollars was all I was given, if I gave it all to her, I would need to starve till tomorrow when my parents got home. In the end, I followed my conscience and gave her the money. Now here comes the twist, my dad came home early that night and decided to bring me to a midnight diner as a reward for my kindness. However, as we passed by that same convenience store, I saw that granny again. She was still sitting on the staircase, but this time with a bottle of soju in her left hand and a lighted cigarette in another. I was shocked and confused, I didn’t understand why she didn’t make her way back home, I didn’t grasp the truth behind this “poor helpless old woman” hoax until much later. It turns out she’s a local hobo who regularly pesters bypassers for booze and smokes. I just happened to bump into her and was an easy target. ",human
"The most straightforward factor that contributed to my concern is the Absurdistan, or the double speaking I encounter in my everyday life. As you must also know as a denizen of Novotroitsk, the metallurgy industry has always been the pride and backbone of this town; and as the editor of the only newspaper in this town, I assume you also heard of the recent factory layoff that suspended dozens of workers indefinitely. The official statement from the manager claimed that this is merely a “temporal adjustment of personnel”, yet me and my fellow workers all knew this suspension was due to the shortage of chemical solution. The shipment of hydrochloric acid and fluorspar, the critical chemical used in the process of extraction and smelting, had been reducing months before the layoff. And this decrease in shipment, I speculated, is due to the new chemical company we formed a new partnership with a few years ago. I still remember the day when the manager announced the new contract  signed with InfraLeuna, a Western Germany corporation whose subsidiary specializes in the production of industrial chemicals. At the time when all western enterprises were labeled as evil capitalist, ruthless imperialist, and oppressors of the working class; this statement was quite shocking for all the factory workers. However, the manager soon released a new statement that claimed that InfraLeuna “realized their wrongdoing in assisting capitalist oppression” and “turned to the Union in hope of supporting the great communist work”. If I recall correctly, the statement was even published on Novotroitsk News! As a result, we accepted this new arrangement without much comment until last week, the very day we were put on an indefinite suspension. ",human
" At the beginning of the episode, a reporter greets Bart out of politeness, while Bart replies with a stereotypical redneck response “Who the hell are you?”.  At the same time Bart is chewing a barley straw, which is another stereotype for American southerners. The exaggeration of uneducated Americans is shown here, for even the kids are acting like a mid-aged redneck. When Mr. Burns makes his debut on the TV show to announce his entrance of the election, everyone scoffs at him and wishes him to get lost. However, as Burns hired an actor portraying Charles Darwin who claims the three-eyed fish is an evolutionary leap instead of a hideous genetic mutation, a bunch of people immediately change their opinion on Burns, some even call him new blood for American politics. The uneducated Americans are easily manipulated by the information they receive, yet they don’t have the ability to tell right from wrong. The parody of Charles Darwin and the exaggeration of mass ignorance are displayed in this scene, the media has become a new tool for businessmen and politicians to control people.",human
"You wake up on a pile of golden flowers, you look around but no one is around, as you investigate the area you remember you fell down Mount Ebott, a place forbidden by the adults, also the habitat the monsters dwell. Welcome to the world of Undertale, here you play as a child to explore the underground and try to find a way back to the surface. During your adventure you will meet several monsters, but instead of savage monsters the adults told you, they are intelligent beings with emotion and soul. When you encounter a monster, you can choose to fight and kill it or try to communicate and make peace with it. If you spare the monsters and explore the underground peacefully, you will find that every character in the game has a story behind it, and all of their stories connect to each other to create the massive plot of Undertale. ",human
"While Undertale is, at the end of the day, a game steeped in fiction, the effects of its music on a player’s overall experience is very much grounded in reality. Look no further than the first encounter in the game, where we meet our titular antagonist, Flowey the flower. Flowey, as Aaron mentioned before, is indeed the final boss of the game, but from his initial charming and inviting demeanor, a player would be oblivious as to his ulterior motives. Flowey’s theme, titled, “Your Best Friend”, mirrors his innocent appearance with a cute, simplistic melody in the key of Ab major, lulling the player into a false sense of security. When Flowey does decide to show his true colors in the form of Omega Flowey near the end game, we hear this leitmotif once again, distorted, bizarre, and with an accelerated tempo, which induces a sense of fear and hatred in the player.",human
"At the end of the route, Flowey will tell you a way to reach the true pacifist route and restart the game before the final boss fight. You will fight the true form of Flowey, which is Asgore’s deceased son Asriel. This time you will save this last soul you didn’t save in the last run and reach the true happy ending. In the genocide route you choose to deal things with violence instead of mercy. To achieve this run you need to kill every monsters in the game, and as you continued to slay more and more monsters just because you want get the genocide ending, you will find yourself the true final boss and the monsters are the heroes who try to defeat you. When you finally kill everything that moves in the game, the soul of the first human who fell underground appears, he is the one and only friend of Asriel, also the narrator that guides you throughout the game. He will kill the protagonist and crash the game, force you to play this game over and over again, never leave him alone. ",human
"As influential as movies can be, the author can only recall one that envisions a world where humans live in harmony with nature—Black Panther. The nation of Wakanda surprisingly maintains its environment despite being, in canon, the most technologically-advanced country in the world. This is in large part because Wakanda lacks suburbs which, as proven in the United States, does more harm to the environment than urban territories. The very capital city of Birnin Zana is assimilated with nature, making it more sustainable and environmentally beneficial than any other in real life. Compounded with the fact that studies have shown that suburban lifestyle isn’t especially good for humans, the methodology that went into creating Wakanda looks more and more appealing. Wakandans chose to tell a story that differs from not only the titular antagonist Killmonger but also from many films of today, and the author champions this idea. Instead of a resigned undercurrent, the author wants movies of today to discuss climate change with an opportunistic viewpoint, one that would benefit not only the environment, but the general public as well. The author ends the essay with her own optimistic take on an ecologically-orientated story, rallying the audience into becoming one with nature and reconstructing a new narrative.",human
"The extreme weather occurring around the globe in recent years is the environmental issue being discussed in Weathering with You. Throughout the story, many people asked for Hina’s help to hope for good weather; whether it is important events such as weddings or petty wishes like “want to walk under the sun”,  Hina realized them all. Yet the price of the miracles was not only high but also cruel: Hina's special power came from her identity as a human offering to the god of weather, and every time she prayed for good weather her body became more and more transparent. Also the storms Hina cleared didn’t disappear, they were only delayed. As Hina stopped praying in fear of the transformation, all the bad weather struck back all at once. Rain flooded Tokyo, the city was on the verge of destruction. Finally, Hina could not bear to watch others suffer, she prayed one last time and disappeared from this world. As she fully transformed into a live offering, the rain stopped pouring and the wind halted howling, the world was saved by the sacrifice of a 16-year-old girl.",human
"To the US, this principle is not the most favorable but rather an acceptable one. America would never be happy to be at the giving end instead of the receiving end of economic merit, yet to reduce carbon emission globally, it is a necessary sacrifice. The United States will have to restart the various environmental policies previously canceled by the Trump Administration and fulfill the 26% reduction promise made in the Paris Agreement. In addition, the US needs to foster advanced technology industries in South America to shift their economic focus from heavy industry and exhaustive forestry. To prevent raising the cost of living and causing popular discontent, the US might need to cut short other budget expenses, such as national defense. To other developed countries, their conditions are very much the same to the states, just on a smaller scale. These nations need to continue or renew their carbon emission policy while aiding their neighboring developing nations like the US to South America, with the premise that these altercations won’t significantly increase the cost of living. The government and citizens of developed countries need to strike a balance between these conditions, which may involve decreasing luxury and other unnecessary expenses.",human
"To China, it should cease its current checkbook diplomacy and focus on solving its internal issues. China is the world’s largest emitter of carbon dioxide, it needs to cut short its carbon emission by transitioning from fossil fuel to renewable energy. China is a country that suffers severe wealth inequality, most capital is in the possession of government officials and the merchants bonded with them. Besides implicit corruption, a significant amount of money is spent on China’s ally nations to politically compete with NATO nations instead of helping the poor Chinese citizens. These issues need to be resolved before China can efficiently cut down carbon emission while overcoming the financial instability brought by rapid economic growth. To India, the situation is almost identical to China. India’s wealth inequality has its convoluted roots in the caste system, corruption, religion, and external conflict. It is India’s responsibility to solve or at least mitigate its social and economic conundrums in order to allocate resources for emission reduction movements.",human
"Cost wise, while nuclear is not cheapest on the list yet it is definitely more affordable than fossil fuels, both coal and gas. As renewable energies are considerably cheaper than nuclear energy, its massive landuse and unreliability is a great concern. It takes ten times more land to establish an effective solar and wind power plant, the land that can be utilized far more economically efficiently. Speaking of efficiency, the conversion of either solar wind or geothermal energy into electricity hasn’t ever reached 50% since its invention. Compared to the 90% energy factor of nuclear energy, renewable energies alone won’t be able to provide electricity on a national, or even a regional scale. In addition to inefficiency, unlike nuclear and fossil fuels, renewables are often bound to the environment, solar power needs a sunny climate, Hydroelectricity requires waterfalls, … etc, in contrast to the reliable nuclear power plants that can produce electricity 24/7, renewable energies are simply not good enough. ",human
"The assertion that we learn our most valuable lessons from struggling with our limitations rather than from enjoying our successes is a compelling one. While successes can certainly provide joy and satisfaction, it is often the challenges and difficulties that teach us the most profound and enduring lessons. I largely agree with this claim, though it is also important to recognize that successes can play a crucial role in reinforcing and validating the lessons learned through struggle. Struggling with limitations often forces individuals to confront their weaknesses, rethink their strategies, and develop resilience. For instance, Thomas Edison’s numerous failures in inventing the light bulb illustrate how struggles can lead to significant learning and eventual success. Edison famously stated that he had not failed but had found 10,000 ways that did not work. His persistence and problem-solving through repeated failures ultimately led to a groundbreaking invention that transformed modern life. This example underscores how grappling with limitations can be a powerful teacher, fostering persistence, creativity, and critical thinking.",human
"Similarly, athletes frequently experience growth through overcoming setbacks. Consider the story of Michael Jordan, who was famously cut from his high school basketball team. This early failure motivated him to work harder and refine his skills, ultimately leading to a highly successful career in professional basketball. Jordan’s struggle with rejection and limitation taught him valuable lessons about perseverance and self-improvement that were instrumental in his later achievements. His experiences demonstrate that struggles often provide the impetus for personal development and future success. On the other hand, successes can also offer important lessons and affirmations of one’s abilities. Achieving a goal can boost confidence, validate one’s efforts, and provide motivation for future endeavors. For example, a student who successfully completes a challenging academic project may gain confidence in their problem-solving abilities and become more motivated to tackle future challenges. Successes can also serve as milestones that reinforce the effectiveness of strategies and hard work, offering valuable feedback and encouragement.",human
"However, while successes provide positive reinforcement, they often do not compel the same level of self-reflection and growth as struggles do. Successes can sometimes lead to complacency, where individuals rest on their laurels rather than seeking continuous improvement. In contrast, overcoming limitations often requires a deeper level of introspection and adaptation. The process of addressing and overcoming difficulties can lead to more profound personal growth and a better understanding of one’s capabilities and potential. Moreover, challenges and limitations frequently teach individuals about the importance of resilience and the value of effort. For example, entrepreneurs who navigate financial difficulties or business failures often emerge with a greater understanding of risk management, strategic planning, and adaptability. These lessons are frequently more impactful and enduring than those learned from straightforward successes, which may not always require as much effort or introspection.",human
"It is pure irony that the Europeans, who profess to believe in the dignity of human beings, are the initiators, the perpetrators, and the sole beneficiaries of the most notorious human trafficking industry in the annals of mankind. Throughout the three hundred years history of the transatlantic slave trade, over 12.5 million Africans were snatched from their home and shipped to the plantations in the Americas, where they were dehumanized, commodified, bred like livestocks, then thrown away like rubbish. Although slavery was officially banned in the 19th century, it took one more century for people to fully recognize the true horror of the atrocities committed in the past. What could possibly rationalize this systematic deprivation of human rights? How did the Europeans of the early modern era sell millions of men as goods without remorse or guilt? Simply yet astonishingly, the Europeans justified the Atlantic slave trade with merely two reasons: money and moral.",human
"The Reformation, one of the most significant events in Christian history, was initiated by one troubled man. Martin Luther was an anxious Christian who suffered from existential crisis due to the fear of failing God’s expectation of him. Throughout the first half of his life, Luther searched for an answer, a solution that would free him from the persistent fears of damnation. During his study of penance at Wittenberg, Luther reached enlightenment. Luther came to his own realization that “eternal salvation came not from performing the religious good works of penance, but from faith, which was a gift from God”, he no longer need to worry about whether he did enough to be worthy of salvation, he just need to believe in God, and God would make the righteous judgment. From this moment of revelation, Luther would stray more and more from the path of Catholicism and eventually form his new version of Christianity. However, it was an extensive process of thought transformation that lasted for more than twenty years. From a confused believer to a stout opposer of papacy, Martin Luther underwent several drastic events that shift his mindset from time to time.",human
"We will utilize the web-scraped data we gathered up until now and continue to web-scrape the websites the mentors provide in the future. We will use the manually labeled well structured data in csv format as answer sheets for testing the accuracy for our large language models, and use the unfiltered web-scraped raw text data as the training data, which we will further divide into training, validation, and testing sets.  Also we will experiment with the size and format of raw text data, to see what batch size and file format produce the best desired output. Due to the immense time, cost, and data requirement needed to train a large language model from zero, we decided to adopt the pre-trained models from online sharing platforms and finetune the model to specifically extract manufacturing speaks from text data. The focus of this semester is Ollama, which we already experimented with several model families on. In the first sprint of the next semester we will also look into Hugging Face, another AI sharing platform, and explore more models we can possibly employ.",human
"World War I and the Napoleonic Wars, two of the most important modern wars, each left its own bloody yet significant marks on the annals of European history. Both wars were fueled by fervent nationalism, caused countless casualties, introduced advanced warfare, and led to substantial shifts in power and ideology not limited to the Europe continent but also the colonies around the globe. However, though the two wars hold many commonalities, they still possess several differences, especially in the experiences of frontline soldiers. The technological breakthrough in the 100 years between the two eras fundamentally altered the definition of war. The amount of casualties drastically increased in WWI, and the post-traumatic stress disorder was of much greater scale compared to the Napoleonic Wars. Overall, the life of a World War I soldier is more stagnant, unpredictable, and hopeless than a Napoleonic soldier due to the advanced weaponry, trench warfare, and the mass mobilization made possible in the 20th century.",human
"And as for why InfraLeuna cut back our supply, it was hard to not relate to the horrible accident that took place three years ago. Chernobyl not only left a huge scar on the direct victim of the incident, it also undermined the trust we had in the government. My sister Ludmila and her family living in Pripyat bore the brunt of that terrible disaster. I had a phone call with Ludmila the night before the explosion, we talked about the upcoming birthday of my precious little niece Sasha and my plan to visit them in May. That was the last time I heard from them in weeks. I didn’t even know about the disaster three days after it happened, and I knew something was off when Вре́мя claimed that the power plant was under control yet I could not contact my sister. It turned out my sister’s family was emergency evacuated out of the city in the midnight of April 27th, then in the following month they along with other residents of Pripyat were transported place to place, from decontamination sites to refugee camps, rural villages to unfamiliar towns; it took them a month to finally settle in Kyiv and inform me that they were tired but unharmed.",human
"Being “relieved” from my work recently, I finally had the opportunity to experience the infamous grocery queues. It was an awfully dull and wasteful occurrence, I waited from daybreak for six hours in the long and winding line, just to be disappointed by the farcical “goods” at the end of it. The shops didn’t even have the 100th of what they showed on TV: there was no meat, no vegetables, no milk, no fruit; there was nothing other than bread as hard as rock. Most importantly, they have no toilet paper. Not even a single sheet! Me and my family had to resort to rags made from old clothes and past newspapers! It is such a woeful situation, that both the metal we export and the groceries we import are in deplorable scarcity. I know it is a hard time for everybody, but things could be better. I wish my letter can raise the government’s awareness of what the people really need, instead of deluding themselves with propaganda that is too good to be true.",human
"The Gilded Age, an era marked as the pinnacle of “the American dream”, is one of the most luxurious years in American history. Under rapid economic growth and industrial expansion, mass urbanization took place and cities flourished, quality of life soared, everything seemed so glamorous and wonderful. However, under the canvas of the illustrious image, social issues bred; widespread corruption, outright racism, and rising unemployment slowly infested the society as people reveled in clubs and ballrooms. The Great Sheedy Trial, a murder case that occurred in Lincoln, Nebraska, demonstrated the typical racism that pervaded the Gilded Age. By examining the case of the black suspect Monday McFarland, the racial oppression concealed for ages is finally brought to the light.",human
"Before diving into the invention, we had to understand what exoskeleton is. Exoskeleton is also known as powered suit, it is a wearable mobile machine that is powered by a system of electric motors, pneumatics, levers, hydraulics, and a combination of technologies that allow for limb movement with increased strength and endurance; or in short a robot suit that can make you super strong.  Powered suit has implications in all walks of life, for example: it can be used for medical purposes, like utilizing exoskeleton as prosthetics for disabled or elderly. ""Step Rehabilitation Robots"" have helped individuals who lost the use of their legs from stroke, spinal cord injury or during aging by enabling system-assisted walking. Exoskeleton can also be used for military purposes, which advance soldiers’ physical affinity or prevent suffering from possible injuries. For example, the Tactical Assault Light Operator Suit (TALOS) had been employed in US army to increase mobility and reduce fatigue of Special Forces operators.",human
"The Guardian XO exoskeleton – the world’s first commercially-available full-body, battery-powered industrial wearable robot that delivers superhuman strength and endurance. In recent years exoskeletons have been increasingly invested into industry, with the goal of reducing worker injury and reducing errors due to fatigue, while The Guardian marks a milestone of the industry. To be distinguished from other brands, The Guardian is able to lift and manipulate up to 90 kg while virtually eliminating any physical strain, and also boasts as much as six hours of battery life. Historically, highly physical jobs have been relegated to larger and stronger people. If more and more companies adopt versatile exoskeletons, it means that there will no longer be physical barriers to entry for these roles. In essence, it will allow various highly-physical industries to maintain a more diverse talent pool.",human
"Despite the controversy his action caused, Luther didn’t aim to divide the church or even disrespect papacy in the slightest.  At the time Luther was still a loyal supporter of the church, a reformist discontent with the indulgence policy at best, he had no intention of undermining clerical authority. As a matter of fact, in order to clarify his motives and emphasize his identity of a good Christian loyal to the church, Luther wrote a letter to the pope of the time, Leo X. In Martin Luther’s letter to Pope Leo X, Luther paid the utmost respect to the pope by constantly referring to him as “the Most Blessed Father”, “your Holiness”, and various other titles. Luther viewed Leo X as the most holy man on earth, the candid judge that would clear his name from the defamation and support him in the indulgence controversy. In fact, Luther had such trust in the pope’s morality and judgment that in the letter he wrote “In your voice I shall recognize the voice of Christ directing you and speaking in you. If I have deserved death, I shall not refuse to die.”",human
"The racism toward Monday McFarland is prominent ever since the inception of the case. Three days after Mary Sheedy’s confession, McFarland was captured from his workplace and taken into custody, for he refused to answer an officer's questions during work time. McFarland remained silent when being interrogated about the cane used in the murder, however, his perseverance was all in vain when the shop owner Hyman Goldwater claimed that McFarland bought the cane from his store. McFarland was then transferred to the notorious city jail for further examination where he experienced inhumane abuse. McFarland was locked in a “sweatbox”, a torture device that kept its victim in a sealed, cramped space while suffering dehydration and heat exhaustion in the awful environment. In addition to physical agony, the persisting death threat from the prosecutors slowly broke down his beaten mind. Finally, after hours of horrible torture, Monday McFarland confessed to be responsible for John Sheedy’s murder.",human
"Compared to free workers, slave labor held considerable advantages. First, slaves didn’t have human rights. The masters could rightfully discipline the slaves by any means necessary, which included torture and enprisonment, making the slaves more obedient and controllable than the indentured servants. Second, slaves are properties, not employees. The slavers could treat their subjects as draft animals instead of human beings. Unlike indentured servants who were “human” in debt, slaves were replaceable cogs in an agricultural machine named plantation. Slaves could be exploited extensively until they were eventually worn out and discarded, new “parts” could be easily replenished from the “hardware store” also known as Africa. In Caribbean plantations like Barbados, slaves were forced to work through day and nights due to the time sensitive nature of sugarcane processing, thus overwork was one of major causes of death for the Mesoamerican slaves. In addition, as slaves are defined as properties, they did not have a 5 year working contract like the indentured servants. The general life expectancy of Caribbean slaves is 7 years, which means in comparison to the contract workers, slaves provide 2 more years worth of profit before they work to death. ",human
"On the other hand, putting materialistic reasons aside, the Europeans morally justified the transatlantic slave trade by the domestic African slave trade and the pagan African religions. “Slavery is as old as the civilization itself.” said professor Henry Louis Gates Jr., “It played a key role in the African kingdoms, and was certainly an important component of the domestic economy of the Kingdom of Kongo”. Slavery was long integrated into the cultures of the African continent, enslavement of criminals, prisoners of war, and members of conquered tribes was a common practice not only crucial for the expansion of territory but also the accumulation of wealth. This tradition of slavery in Africa provided the Europeans an excuse to conduct human trafficking as a righteous business: The slaves were all captured by their fellow black kins, we white folks neither got our hands dirty nor requested the captures. We didn’t invent slavery in Africa, we merely made purchases from the existing market. ",human
"Luther was challenged to debate by many opposing figures, notably the Leipzig debate of 1519, where Luther confronted papal and clerical authority by questioning their astray from the Bible. This act ultimately led to Luther and his followers officially cutting ties with the church, and since then Luthor abandoned his moderate tone and adopted sharp criticism. Luthor launched an inflammatory pamphlet campaign and his change in attitude can be observed the best in his pamphlet: An Open Letter to the Christian Nobility of the German Nation Concerning the Reform of the Christian Estate. In the pamphlet, Luthor broke down the power structure of the Catholic church and further proved the unorthodoxy of Catholic practices. Luthor denied the church of its noble “spiritual state” by proclaiming the priesthood of all believers. “In cases of necessity any one can baptize and give absolution, which would be impossible unless we were all priests”, Luther suggested the feasibility of sacraments by all Christians therefore the existence of clergy and papacy is redundant. Furthermore, even if the church is to exist, by the Scriptures, “priests, bishops or popes -- are neither different from other Christians nor superior to them”, they are merely “charged with the administration of the Word of God and the sacraments” ",human
